id,name,email,password,role
S21368,Sylvia Edison,sylvia.edison@student.edu,pass_S21368,student
S26362,Werner Luther,werner.luther@student.edu,pass_S26362,student
S37458,Marie Newton,marie.newton@student.edu,pass_S37458,student
S70982,Marie Hodgkin,marie.hodgkin@student.edu,pass_S70982,student
S14237,Steve Hawking,steve.hawking@student.edu,pass_S14237,student
S53224,Marie da Vinci,marie.da.vinci@student.edu,pass_S53224,student
S67175,Virginia Yousafzai,virginia.yousafzai@student.edu,pass_S67175,student
S12434,Ada Parks,ada.parks@student.edu,pass_S12434,student
S86157,Toni Gandhi,toni.gandhi@student.edu,pass_S86157,student
S20782,Enrico Lamarr,enrico.lamarr@student.edu,pass_S20782,student
S10534,Alexander Plath,alexander.plath@student.edu,pass_S10534,student
S28285,Maya Parks,maya.parks@student.edu,pass_S28285,student
S51918,Ruth Planck,ruth.planck@student.edu,pass_S51918,student
S27686,Isaac Earhart,isaac.earhart@student.edu,pass_S27686,student
S54799,Jane Johnson,jane.johnson@student.edu,pass_S54799,student
S82892,Hedy Einstein,hedy.einstein@student.edu,pass_S82892,student
S63428,Alexander Plath,alexander.plath@student.edu,pass_S63428,student
S39432,Florence Parks,florence.parks@student.edu,pass_S39432,student
S41240,Zora Turing,zora.turing@student.edu,pass_S41240,student
S57273,Ada Fermi,ada.fermi@student.edu,pass_S57273,student
S93312,Niels Kahlo,niels.kahlo@student.edu,pass_S93312,student
S58685,Mahatma Einstein,mahatma.einstein@student.edu,pass_S58685,student
S91732,Mahatma Jobs,mahatma.jobs@student.edu,pass_S91732,student
S93049,Frida Antoinette,frida.antoinette@student.edu,pass_S93049,student
S52262,Georgia Earhart,georgia.earhart@student.edu,pass_S52262,student
S27449,Virginia Bohr,virginia.bohr@student.edu,pass_S27449,student
S41440,Jane Hawking,jane.hawking@student.edu,pass_S41440,student
S41346,Ada Mead,ada.mead@student.edu,pass_S41346,student
S31180,Malala Armstrong,malala.armstrong@student.edu,pass_S31180,student
S90038,Bill Feynman,bill.feynman@student.edu,pass_S90038,student
S67394,Frida Hemingway,frida.hemingway@student.edu,pass_S67394,student
S94966,Virginia Johnson,virginia.johnson@student.edu,pass_S94966,student
S51430,Jane Gandhi,jane.gandhi@student.edu,pass_S51430,student
S52162,Eleanor Ptolemy,eleanor.ptolemy@student.edu,pass_S52162,student
S66792,Jane Gates,jane.gates@student.edu,pass_S66792,student
S35090,Charles Jobs,charles.jobs@student.edu,pass_S35090,student
S82466,Stephen Morrison,stephen.morrison@student.edu,pass_S82466,student
S41184,Sylvia Kahlo,sylvia.kahlo@student.edu,pass_S41184,student
S31998,Ernest Hurston,ernest.hurston@student.edu,pass_S31998,student
S22622,James Nightingale,james.nightingale@student.edu,pass_S22622,student
S12000,Elizabeth Hodgkin,elizabeth.hodgkin@student.edu,pass_S12000,student
S88495,Charles da Vinci,charles.da.vinci@student.edu,pass_S88495,student
S91092,Katherine da Vinci,katherine.da.vinci@student.edu,pass_S91092,student
S12504,Hedy Yousafzai,hedy.yousafzai@student.edu,pass_S12504,student
S79746,Richard Austen,richard.austen@student.edu,pass_S79746,student
S73404,Isaac Feynman,isaac.feynman@student.edu,pass_S73404,student
S57309,Enrico Lovelace,enrico.lovelace@student.edu,pass_S57309,student
S28637,Leonardo Hodgkin,leonardo.hodgkin@student.edu,pass_S28637,student
S49122,James Feynman,james.feynman@student.edu,pass_S49122,student
S21762,Amelia Armstrong,amelia.armstrong@student.edu,pass_S21762,student
S93548,Alan Hemingway,alan.hemingway@student.edu,pass_S93548,student
S48393,Alexander Kepler,alexander.kepler@student.edu,pass_S48393,student
S24213,Virginia Pasteur,virginia.pasteur@student.edu,pass_S24213,student
S88565,Max da Vinci,max.da.vinci@student.edu,pass_S88565,student
S52899,Hedy Pasteur,hedy.pasteur@student.edu,pass_S52899,student
S89372,Emmy Nightingale,emmy.nightingale@student.edu,pass_S89372,student
S24754,Emmy Noether,emmy.noether@student.edu,pass_S24754,student
S21059,Rachel Einstein,rachel.einstein@student.edu,pass_S21059,student
S44092,Margaret Winfrey,margaret.winfrey@student.edu,pass_S44092,student
S98601,James Kepler,james.kepler@student.edu,pass_S98601,student
S26372,Nikola Johnson,nikola.johnson@student.edu,pass_S26372,student
S42560,Maya Bohr,maya.bohr@student.edu,pass_S42560,student
S99528,Sylvia Hurston,sylvia.hurston@student.edu,pass_S99528,student
S25846,Amelia Pasteur,amelia.pasteur@student.edu,pass_S25846,student
S93667,Marie Fermi,marie.fermi@student.edu,pass_S93667,student
S19244,Frida Noether,frida.noether@student.edu,pass_S19244,student
S65327,Louis Tesla,louis.tesla@student.edu,pass_S65327,student
S97664,Nelson Hawking,nelson.hawking@student.edu,pass_S97664,student
S48082,Hedy Hopper,hedy.hopper@student.edu,pass_S48082,student
S96801,Nikola Galilei,nikola.galilei@student.edu,pass_S96801,student
S45397,Margaret Parks,margaret.parks@student.edu,pass_S45397,student
S72092,Stephen Newton,stephen.newton@student.edu,pass_S72092,student
S69215,Amelia Yousafzai,amelia.yousafzai@student.edu,pass_S69215,student
S12806,Albert McClintock,albert.mcclintock@student.edu,pass_S12806,student
S33963,Leonardo Oppenheimer,leonardo.oppenheimer@student.edu,pass_S33963,student
S36119,Amelia Morrison,amelia.morrison@student.edu,pass_S36119,student
S81503,Nikola Woolf,nikola.woolf@student.edu,pass_S81503,student
S46032,Charles Ptolemy,charles.ptolemy@student.edu,pass_S46032,student
S78024,Toni Feynman,toni.feynman@student.edu,pass_S78024,student
S91549,Bill Hawking,bill.hawking@student.edu,pass_S91549,student
S29512,James Newton,james.newton@student.edu,pass_S29512,student
S17827,Steve Franklin,steve.franklin@student.edu,pass_S17827,student
S85979,Martin Roosevelt,martin.roosevelt@student.edu,pass_S85979,student
S39130,Srinivasa Yousafzai,srinivasa.yousafzai@student.edu,pass_S39130,student
S94429,Bill Kahlo,bill.kahlo@student.edu,pass_S94429,student
S67289,Ernest Luther,ernest.luther@student.edu,pass_S67289,student
S47460,Ada Carson,ada.carson@student.edu,pass_S47460,student
