username,email,password
Richard Austen,richard.austen@student.edu,pass_S79746
Robert Parks,robert.parks@student.edu,pass_S12225
Rosa Noether,rosa.noether@student.edu,pass_S24687
Ruth da Vinci,ruth.da.vinci@student.edu,pass_S41601
Ruth Planck,ruth.planck@student.edu,pass_S51918
Ruth Turing,ruth.turing@student.edu,pass_S64729
Srinivasa Churchill,srinivasa.churchill@student.edu,pass_S98635
Srinivasa Hurston,srinivasa.hurston@student.edu,pass_S73666
Srinivasa Mead,srinivasa.mead@student.edu,pass_S35977
Srinivasa Yousafzai,srinivasa.yousafzai@student.edu,pass_S39130
Stephen Darwin,stephen.darwin@student.edu,pass_S51260
Stephen Lamarr,stephen.lamarr@student.edu,pass_S67619
Stephen Morrison,stephen.morrison@student.edu,pass_S82466
Stephen Newton,stephen.newton@student.edu,pass_S72092
Stephen Tesla,stephen.tesla@student.edu,pass_S42813
Steve Franklin,steve.franklin@student.edu,pass_S17827
Steve Hawking,steve.hawking@student.edu,pass_S14237
Steve Jobs,steve.jobs@student.edu,pass_S79079
Sylvia Edison,sylvia.edison@student.edu,pass_S21368
Sylvia Hurston,sylvia.hurston@student.edu,pass_S99528
Sylvia Kahlo,sylvia.kahlo@student.edu,pass_S41184
Sylvia Musk,sylvia.musk@student.edu,pass_S79583
Sylvia Newton,sylvia.newton@student.edu,pass_S71525
Thomas Heisenberg,thomas.heisenberg@student.edu,pass_S33837
Toni Feynman,toni.feynman@student.edu,pass_S78024
Toni Gandhi,toni.gandhi@student.edu,pass_S86157
Virginia Bohr,virginia.bohr@student.edu,pass_S27449
Virginia Johnson,virginia.johnson@student.edu,pass_S94966
Virginia Pasteur,virginia.pasteur@student.edu,pass_S24213
Virginia Yousafzai,virginia.yousafzai@student.edu,pass_S67175
Werner Hopper,werner.hopper@student.edu,pass_S52563
Werner Jobs,werner.jobs@student.edu,pass_S95773
Werner Kepler,werner.kepler@student.edu,pass_S35992
Werner Luther,werner.luther@student.edu,pass_S26362
Winston Armstrong,winston.armstrong@student.edu,pass_S67066
Winston Watson,winston.watson@student.edu,pass_S46311
Winston Woolf,winston.woolf@student.edu,pass_S54909
Wolfgang Angelou,wolfgang.angelou@student.edu,pass_S94597
Wolfgang Antoinette,wolfgang.antoinette@student.edu,pass_S82214
Wolfgang Franklin,wolfgang.franklin@student.edu,pass_S21787
Wolfgang Luther,wolfgang.luther@student.edu,pass_S79092
Wolfgang Nightingale,wolfgang.nightingale@student.edu,pass_S77806
Zora Gates,zora.gates@student.edu,pass_S59380
Zora Turing,zora.turing@student.edu,pass_S41240
